experiment,best_valid_loss,best_valid_ppl,best_valid_step,final_valid_loss,final_valid_ppl,final_step,final_tokens_per_sec,final_elapsed_sec,final_train_loss,final_train_ppl
exp_baseline,2.011484702428182,7.474406382628876,10000,2.011484702428182,7.474406382628876,10000,1355053.405029245,120.91036367416382,1.9407533407211304,6.963995256230583
exp_ctx_128,2.1100761611410914,8.248869504017545,10000,2.1100761611410914,8.248869504017545,10000,480313.1426216095,170.55539965629578,2.1116368770599365,8.261753697632665
exp_ctx_64,2.298295783996582,9.95719876949892,10000,2.298295783996582,9.95719876949892,10000,260310.71168598032,157.35042071342468,2.3880186080932617,10.891891443045784
exp_model_large,2.1219336291154227,8.347262402476685,10000,2.1219336291154227,8.347262402476685,10000,1006726.7104417783,162.7452597618103,2.160693645477295,8.677154440398793
exp_model_small,3.454856276512146,31.653738969564063,10000,3.454856276512146,31.653738969564063,10000,1214274.1654215711,134.92834210395813,3.5059187412261963,33.31203493743199
exp_vocab_1000,1.9133377609581783,6.775666653450479,10000,1.9133377609581783,6.775666653450479,10000,950687.8002060476,172.33838486671448,1.9036645889282227,6.710440445063279
exp_vocab_5000,1.9670698990424473,7.149696434150591,10000,1.9670698990424473,7.149696434150591,10000,839993.9438322405,195.04902529716492,1.935136318206787,6.9249879929841
