step,split,loss,ppl,lr,tokens_per_sec,elapsed_sec
0,valid,8.332769950230917,4157.918844170292,0.0,0.0,0.0
20,train,8.214972496032715,3695.8745719784542,1.1999999999999999e-05,838486.1833702228,0.39079952239990234
40,train,7.904353141784668,2709.049574339739,2.3999999999999997e-05,1095281.2136165276,0.5983486175537109
60,train,7.577663421630859,1954.057817816351,3.5999999999999994e-05,1220087.8688218007,0.8057124614715576
80,train,7.2686944007873535,1434.67611772779,4.7999999999999994e-05,1293838.6955890392,1.013047456741333
100,train,6.915990829467773,1008.2695559185887,5.9999999999999995e-05,1341206.7387954616,1.2215864658355713
120,train,6.584290504455566,723.6374479451256,7.199999999999999e-05,1375144.9476779243,1.4297256469726562
140,train,6.297916889190674,543.4386872177226,8.4e-05,1400331.6793162473,1.6380119323730469
160,train,6.0133161544799805,408.836840913336,9.599999999999999e-05,1419631.4133233484,1.8465638160705566
180,train,5.886319637298584,360.0776264734943,0.00010799999999999998,1435246.0399469181,2.054783582687378
200,train,5.944345951080322,381.5897013297358,0.00011999999999999999,1447961.9282566486,2.26304292678833
220,train,5.903183937072754,366.20157643299734,0.00013199999999999998,1458560.1222550971,2.471259117126465
240,train,5.912107944488525,369.48418725341213,0.00014399999999999998,1467278.5370660399,2.6799001693725586
250,valid,5.8748931884765625,355.9866351652088,0.00015,1470737.2999197766,2.7849977016448975
260,train,5.889103889465332,361.081570353109,0.000156,1391477.9543672875,3.061378002166748
280,train,5.82956600189209,340.21099609840434,0.000168,1403255.502736652,3.269197940826416
300,train,5.885931015014648,359.93771947115033,0.00017999999999999998,1413426.3928948045,3.4775068759918213
320,train,5.8348541259765625,342.0148393305023,0.00019199999999999998,1422545.3625136414,3.6855626106262207
340,train,5.895467281341553,363.38660000996504,0.000204,1430638.364055562,3.8937582969665527
360,train,5.893270015716553,362.5890196939748,0.00021599999999999996,1437997.0995334866,4.101705074310303
380,train,5.876418590545654,356.53007228974116,0.00022799999999999999,1444605.8169636815,4.309770822525024
400,train,5.833549499511719,341.5689286564225,0.00023999999999999998,1450637.5082366841,4.517737865447998
420,train,5.869515895843506,354.07752836762114,0.000252,1455996.326137912,4.726165771484375
440,train,5.913847923278809,370.127641538643,0.00026399999999999997,1460997.3232227033,4.9342732429504395
460,train,5.885011672973633,359.6069656547333,0.000276,1465651.512334444,5.14217734336853
480,train,5.908257961273193,368.06441413918543,0.00028799999999999995,1469941.8817944822,5.350089073181152
500,train,5.856041431427002,349.3385227933459,0.0003,1473890.212187758,5.558080196380615
500,valid,5.837707897027333,342.9922653896665,0.0003,1473890.212187758,5.558080196380615
520,train,5.649039268493652,284.01846921493785,0.00029999703912842054,1434768.9149686247,5.938015460968018
540,train,5.558991432189941,259.5609194765695,0.00029998752510231383,1439561.8590571901,6.145869970321655
560,train,5.411304473876953,223.92349959907853,0.00029997145013596697,1443949.967917315,6.3541259765625
580,train,5.355380058288574,211.74443629026413,0.0002999488149325511,1448100.6543591802,6.562195777893066
600,train,5.287312030792236,197.81100028106573,0.0002999196204822032,1451972.49040533,6.770376205444336
620,train,5.24488639831543,189.59427577697065,0.00029988386806198316,1455659.4726453624,6.978335380554199
640,train,5.217268466949463,184.4297195291665,0.0002998415592358178,1459194.1601212095,7.185993671417236
660,train,5.063785552978516,158.18821416647464,0.000299792695854432,1462377.3216345352,7.394425392150879
680,train,5.102330207824707,164.4045580864986,0.0002997372800552686,1465399.1395832347,7.602788686752319
700,train,4.977034568786621,145.04362638473117,0.000299675314262394,1468352.9201761389,7.810656309127808
720,train,4.990816593170166,147.05645977930442,0.00029960680118639284,1471079.1980323857,8.018929243087769
740,train,4.995399475097656,147.73194883217056,0.0002995317438242489,1473730.3946903246,8.226850748062134
750,valid,4.939278264840444,139.66940885115542,0.00029949176205071125,1474798.9605936096,8.331983089447021
760,train,5.0121002197265625,150.219899873701,0.00029945014545921443,1446633.097240249,8.607462406158447
780,train,5.009356498718262,149.8083032898581,0.00029936200966066627,1449678.396379779,8.815417289733887
800,train,4.9504194259643555,141.23418878621723,0.0002992673402839497,1452542.1104295517,9.023628234863281
820,train,4.846988677978516,127.35630099490534,0.0002991661414702101,1455261.955513071,9.231932401657104
840,train,5.034654140472412,153.64644333497304,0.0002990584176462111,1457911.3309906814,9.439915657043457
860,train,4.773367404937744,118.31699311705266,0.00029894417352414215,1460469.974671307,9.647743701934814
880,train,4.869071960449219,130.2000300338559,0.00029882341410141097,1462865.395955236,9.855944395065308
900,train,4.851975440979004,127.9929828559535,0.000298696144660426,1465134.703787675,10.064330577850342
920,train,4.909998893737793,135.63926435579026,0.00029856237076836484,1467306.1547011312,10.272757291793823
940,train,4.712940216064453,111.37915773681306,0.00029842209827693093,1469423.4322110885,10.48095440864563
960,train,4.80797004699707,122.48273080136558,0.0002982753333220975,1471483.8319175052,10.688965559005737
980,train,4.7981390953063965,121.28450847524518,0.00029812208232383905,1473461.2502133502,10.897008657455444
1000,train,4.638517379760742,103.39094438533678,0.0002979623519858508,1475316.4018734086,11.105414390563965
1000,valid,4.651034394900004,104.69322372365458,0.0002979623519858508,1475316.4018734086,11.105414390563965
1020,train,4.651761054992676,104.76932775884151,0.00029779614929525516,1330418.3727289943,12.561221599578857
1040,train,4.633091926574707,102.83152059275761,0.00029762348152229616,1334299.0071344639,12.770271062850952
1060,train,4.589699745178223,98.46486117370978,0.00029744435622002164,1338057.7082038347,12.97929072380066
1080,train,4.563706398010254,95.93840759498754,0.0002972587812239526,1341733.287022462,13.1879563331604
1100,train,4.542244911193848,93.90136390549263,0.0002970667646517405,1345283.7101581332,13.396728038787842
1120,train,4.618232250213623,101.31477456387253,0.00029686831490281226,1348725.6459474994,13.605494976043701
1140,train,4.533923149108887,93.12318151085873,0.00029666344065800283,1352074.820717053,13.814146757125854
1160,train,4.483658790588379,88.55809617423317,0.0002964521508791754,1355339.2599685742,14.02264404296875
1180,train,4.37869930267334,79.73425579472993,0.0002962344548088293,1358489.4063047029,14.23133659362793
1200,train,4.24336051940918,69.64149062597309,0.00029601036196969595,1361533.931340285,14.440183639526367
1220,train,4.348223686218262,77.34095902497079,0.00029577988216432203,1364438.86104917,14.649597406387329
1240,train,4.319890975952148,75.1804313702532,0.00029554302547464095,1367259.8260416389,14.859033823013306
1250,valid,4.311065336068471,74.51983533595234,0.0002954222090250759,1368562.6765771965,14.96460509300232
1260,train,4.240094184875488,69.41438931649947,0.00029529980226153163,1354510.5232786916,15.240811824798584
1280,train,4.267788410186768,71.36363388037667,0.00029505022316436523,1357440.5322345197,15.449310302734375
1300,train,4.260797500610352,70.86647698311802,0.0002947942991005401,1360270.9477177123,15.65805697441101
1320,train,4.201609134674072,66.79372471075571,0.0002945320412650038,1363037.4566105364,15.86668062210083
1340,train,4.151601791381836,63.53568975402092,0.0002942634611297637,1365723.9145624065,16.075401306152344
1360,train,4.108245372772217,60.83987256352109,0.00029398857044338504,1368385.0210012284,16.28360414505005
