step,split,loss,ppl,lr,tokens_per_sec,elapsed_sec
0,valid,8.347947463989257,4221.507049403051,0.0,0.0,0.0
20,train,8.207059860229492,3666.74585695115,1.1999999999999999e-05,146922.57030935647,0.557572603225708
40,train,7.8675432205200195,2611.1426998037123,2.3999999999999997e-05,199550.01227160613,0.821047306060791
60,train,7.556285858154297,1912.7281604261593,3.5999999999999994e-05,224862.09989816995,1.0929365158081055
80,train,7.290374755859375,1466.1200313367533,4.7999999999999994e-05,241652.35180658664,1.3559975624084473
100,train,6.980442047119141,1075.3936366012545,5.9999999999999995e-05,252297.8544826533,1.6234779357910156
120,train,6.669605255126953,788.0844507570436,7.199999999999999e-05,260193.7840120203,1.8890535831451416
140,train,6.285686016082764,536.8324400324692,8.4e-05,266259.37989830435,2.153689384460449
160,train,6.081892490386963,437.8570513765197,9.599999999999999e-05,270734.93150761834,2.4206702709198
180,train,5.933281421661377,377.3908627761547,0.00010799999999999998,274441.1186569287,2.6864778995513916
200,train,5.914605140686035,370.40801477006073,0.00011999999999999999,277386.38973455876,2.9532811641693115
220,train,5.913931369781494,370.15852868457085,0.00013199999999999998,279882.0763385731,3.21964168548584
240,train,5.8850908279418945,359.6354314592765,0.00014399999999999998,282114.7521822801,3.48453950881958
250,valid,5.87159122467041,354.8131187010983,0.00015,282928.11259030463,3.6192939281463623
260,train,5.852044582366943,347.9450560400478,0.000156,272797.9276678128,3.903841972351074
280,train,5.824826240539551,338.6022926143601,0.000168,274934.1191884832,4.171472072601318
300,train,5.909487724304199,368.5173245779009,0.00017999999999999998,276897.06991349667,4.4377501010894775
320,train,5.797643661499023,329.5221785862389,0.00019199999999999998,278517.53227818146,4.706059217453003
340,train,5.854185104370117,348.6906377707693,0.000204,279989.11146783485,4.973907709121704
360,train,5.865034580230713,352.49434523273936,0.00021599999999999996,281444.18746706494,5.239262580871582
380,train,5.871976852416992,354.94997086982164,0.00022799999999999999,282725.31409148965,5.50527286529541
400,train,5.86558198928833,352.6873566533588,0.00023999999999999998,283797.2222681088,5.773136138916016
420,train,5.8833327293396,359.0037123848187,0.000252,284922.37023605505,6.03785514831543
