step,split,loss,ppl,lr,tokens_per_sec,elapsed_sec
0,valid,7.652201890945435,2105.2760779676487,0.0,0.0,0.0
20,train,7.553143501281738,1906.727119589924,5.9999999999999995e-05,280895.1300621391,0.5832781791687012
40,train,7.248998165130615,1406.694866070578,0.00011999999999999999,423086.4411583988,0.7744989395141602
60,train,6.824439525604248,920.0605891113122,0.00017999999999999998,511144.5033274481,0.9616067409515381
80,train,6.370565891265869,584.3884356503429,0.00023999999999999998,570288.2436988354,1.1491732597351074
100,train,6.081892967224121,437.85726016308155,0.0003,612522.515062268,1.3374202251434326
100,valid,6.061740446090698,429.1216503975713,0.0003,612522.515062268,1.3374202251434326
120,train,5.946789741516113,382.5233669691588,0.00029336895221974946,625352.3213697189,1.5719778537750244
140,train,5.913909912109375,370.150586029446,0.0002727224576137535,650283.4699370705,1.7636616230010986
160,train,5.940923690795898,380.2860340666436,0.0002400630337988826,370120.7950332772,3.541330337524414
180,train,5.852527618408203,348.11316664096415,0.0001985876127297224,395244.53617239103,3.7307536602020264
200,train,5.8886308670043945,360.9108110497783,0.0001523560975967731,418091.4305509984,3.918760061264038
200,valid,5.8927473545074465,362.39955799498625,0.0001523560975967731,418091.4305509984,3.918760061264038
220,train,5.884838581085205,359.54472599270207,0.00010589395121515441,433794.72335361823,4.154591798782349
240,train,5.898076057434082,364.33583191281383,6.374921219350826e-05,452678.88694074267,4.3432111740112305
260,train,5.879097938537598,357.4866213146047,3.004730122693641e-05,470074.955767281,4.531022071838379
280,train,5.812184810638428,334.3488171180799,8.087196175868204e-06,485934.75384465564,4.720304489135742
300,train,5.9103617668151855,368.8395651910996,1.850512775091184e-08,500714.5004730059,4.908186197280884
300,valid,5.889731073379517,361.3081059380547,1.850512775091184e-08,500714.5004730059,4.908186197280884
300,valid_final,5.889731073379517,361.3081059380547,0.0003,388228.25970724924,6.330296516418457
0,valid,7.651671667098999,2104.160106271327,0.0,0.0,0.0
20,train,7.544559478759766,1890.4297794922684,5.9999999999999995e-05,423882.1456544656,0.3865225315093994
40,train,7.238061904907227,1391.394700748659,0.00011999999999999999,567466.2072291385,0.5774440765380859
60,train,6.826263904571533,921.7406603760644,0.00017999999999999998,639839.4002297927,0.7681927680969238
80,train,6.402437686920166,603.3139372799176,0.00023999999999999998,684062.4454224107,0.9580411911010742
100,train,6.071495532989502,433.32825391989616,0.0003,712752.5041015734,1.1493470668792725
120,train,5.957854270935059,386.77930959866666,0.00029999727355647736,733554.168199957,1.3401055335998535
140,train,5.876657485961914,356.61525586434755,0.00029998851279714546,749870.7890211621,1.5294368267059326
160,train,5.941538333892822,380.5198461004546,0.0002999737105223883,761613.7616408956,1.7209773063659668
180,train,5.881054878234863,358.18688603953746,0.00029995286732843946,771260.2492224114,1.91188383102417
