step,split,loss,ppl,lr,tokens_per_sec,elapsed_sec
0,valid,6.983121773292279,1078.2792616914314,0.0,0.0,0.0
20,train,6.889927864074707,982.3305533389652,1.1999999999999999e-05,326518.04123794613,1.00355863571167
40,train,6.648632049560547,771.7279175990186,2.3999999999999997e-05,511111.6818469182,1.2822246551513672
60,train,6.394709587097168,598.6694366457504,3.5999999999999994e-05,629407.9813789562,1.5618486404418945
80,train,6.18801212310791,486.87729147425307,4.7999999999999994e-05,711873.0017596253,1.8412272930145264
100,train,6.040223121643066,419.98673256313185,5.9999999999999995e-05,772401.8963555099,2.121175527572632
120,train,5.891375541687012,361.90275447383857,7.199999999999999e-05,818618.0244177636,2.4017062187194824
140,train,5.847339153289795,346.31167115820415,8.4e-05,855172.745893592,2.682218313217163
160,train,5.82052755355835,337.1498713360859,9.599999999999999e-05,884886.197173577,2.9624600410461426
180,train,5.792139530181885,327.7134276112437,0.00010799999999999998,909526.365074204,3.242478847503662
200,train,5.766016483306885,319.26340507628674,0.00011999999999999999,930248.3300852682,3.5225002765655518
220,train,5.772881031036377,321.4625433679509,0.00013199999999999998,948052.4268455696,3.8019838333129883
240,train,5.777219295501709,322.8601623251139,0.00014399999999999998,963262.0621352214,4.082129001617432
250,valid,5.765450362501474,319.08271457141956,0.00015,969811.490694029,4.223501205444336
260,train,5.786536693572998,325.882436982298,0.000156,901822.2099415612,4.7235918045043945
280,train,5.7803497314453125,323.8724389889796,0.000168,916753.1649455497,5.004095077514648
300,train,5.754731178283691,315.6806742961632,0.00017999999999999998,930180.4815101308,5.284135818481445
320,train,5.79532527923584,328.7591051018815,0.00019199999999999998,942199.5828195172,5.564511060714722
340,train,5.760952472686768,317.6507385289212,0.000204,953074.529481542,5.844831466674805
360,train,5.73550271987915,309.66860820020264,0.00021599999999999996,963062.1564656247,6.124464511871338
380,train,5.748948097229004,313.8603360244801,0.00022799999999999999,972055.2881753653,6.404903173446655
400,train,5.801647663116455,330.8442309058262,0.00023999999999999998,980370.5654335998,6.684819221496582
420,train,5.754965782165527,315.75474289582445,0.000252,987912.0744274933,6.965478181838989
440,train,5.7990546226501465,329.9874497412308,0.00026399999999999997,994920.6815729756,7.245763540267944
460,train,5.758553981781006,316.88976907531423,0.000276,1001404.2137012206,7.526071786880493
480,train,5.75985050201416,317.30088952800264,0.00028799999999999995,1007371.3034019105,7.806773900985718
500,train,5.767021179199219,319.5843288963659,0.0003,1012961.9840668357,8.0871741771698
500,valid,5.759037675528691,317.0430837510072,0.0003,1012961.9840668357,8.0871741771698
520,train,5.728743076324463,307.58241768447766,0.00029999703912842054,976057.1557270755,8.728669166564941
540,train,5.714644432067871,303.27634879153635,0.00029998752510231383,982075.4525406376,9.00883936882019
560,train,5.744709491729736,312.53282127135674,0.00029997145013596697,987699.754363151,9.289300680160522
580,train,5.663597583770752,288.1835443089889,0.0002999488149325511,993061.0201616024,9.569119930267334
