step,split,loss,ppl,lr,tokens_per_sec,elapsed_sec
0,valid,8.348213479873982,4222.630186715228,0.0,0.0,0.0
20,train,8.21893310546875,3710.5415135235207,1.1999999999999999e-05,266308.4215099167,0.6152265071868896
40,train,7.881670951843262,2648.2940364381234,2.3999999999999997e-05,366971.9363978109,0.8929293155670166
60,train,7.564660549163818,1928.8139304164827,3.5999999999999994e-05,419575.8584274822,1.171468734741211
80,train,7.275177001953125,1444.0067615463408,4.7999999999999994e-05,451367.0870689603,1.4519445896148682
100,train,6.967380523681641,1061.4386922249448,5.9999999999999995e-05,473079.6018666134,1.7316324710845947
120,train,6.6200056076049805,749.9493025195352,7.199999999999999e-05,489063.02702570625,2.010047674179077
140,train,6.278841018676758,533.1703710977005,8.4e-05,500355.66999740375,2.2921295166015625
160,train,6.0424485206604,420.9224113682632,9.599999999999999e-05,508848.9388452884,2.575852870941162
180,train,5.937114238739014,378.84010849263643,0.00010799999999999998,516142.1590108502,2.8568873405456543
200,train,5.9676642417907715,390.5922753161886,0.00011999999999999999,522252.0965936623,3.1371822357177734
220,train,5.891002655029297,361.76783092246444,0.00013199999999999998,527633.319200556,3.415705442428589
240,train,5.847248554229736,346.2802970675629,0.00014399999999999998,531863.3630345956,3.6965885162353516
250,valid,5.8756439838003605,356.25400862503733,0.00015,533777.1728671354,3.8368070125579834
260,train,5.955419063568115,385.8385676902653,0.000156,502656.58275658055,4.237326383590698
280,train,5.862395286560059,351.5652357741199,0.000168,507626.4180828831,4.518598556518555
300,train,5.850496768951416,347.4069185900607,0.00017999999999999998,512116.0999289799,4.798911809921265
320,train,5.7747697830200195,322.07028013574757,0.00019199999999999998,515899.15780810633,5.081303119659424
340,train,5.910297393798828,368.81582263993437,0.000204,519395.5665073383,5.36254096031189
360,train,5.891642093658447,361.99923322424087,0.00021599999999999996,522578.81242621236,5.643397569656372
380,train,5.839566230773926,343.63025210377856,0.00022799999999999999,525634.3749592138,5.92229151725769
400,train,5.838304042816162,343.1967997443691,0.00023999999999999998,528257.4067275922,6.203036546707153
420,train,5.839984893798828,343.7741475043123,0.000252,530630.652101692,6.484058141708374
440,train,5.880358695983887,357.9376094679746,0.00026399999999999997,532919.0785813114,6.763653516769409
460,train,5.868374824523926,353.67373107965864,0.000276,534886.4541850574,7.045083999633789
480,train,5.871746063232422,354.8680617077193,0.00028799999999999995,536603.8677314493,7.327863693237305
500,train,5.817738056182861,336.21070316741384,0.0003,538540.049566124,7.605748176574707
500,valid,5.8219164888909525,337.6184760602626,0.0003,538540.049566124,7.605748176574707
520,train,5.679971694946289,292.9411380905529,0.00029999703912842054,522721.876865282,8.149343252182007
540,train,5.657546043395996,286.4448561321722,0.00029998752510231383,524834.227752589,8.428718566894531
560,train,5.475149154663086,238.68606541542388,0.00029997145013596697,526746.5609135833,8.709159851074219
580,train,5.315279960632324,203.42145515692675,0.0002999488149325511,528499.841835496,8.99027705192566
600,train,5.290287017822266,198.40036167787392,0.0002999196204822032,530263.9474948271,9.269345998764038
620,train,5.286322593688965,197.61537553310387,0.00029988386806198316,531787.2244820095,9.55088758468628
640,train,5.203804969787598,181.96329115589475,0.0002998415592358178,533295.3463772422,9.831100225448608
660,train,5.149687767028809,172.37765992455468,0.000299792695854432,534780.3058837601,10.110170364379883
680,train,5.103260040283203,164.55749787410232,0.0002997372800552686,536089.9107931042,10.391092777252197
700,train,5.1868896484375,178.91120985358307,0.000299675314262394,537373.2960571152,10.67116665840149
720,train,5.1258697509765625,168.32047490329919,0.00029960680118639284,538663.1710869767,10.949774026870728
740,train,5.04639196395874,155.46054413530769,0.0002995317438242489,539760.0299865193,11.231065034866333
750,valid,5.0554047746861235,156.86801369608116,0.00029949176205071125,540296.1872158785,11.371540546417236
760,train,5.014819145202637,150.6288923445469,0.00029945014545921443,528920.1139474879,11.771002531051636
780,train,4.944611549377441,140.41629545870572,0.00029936200966066627,530078.3382397783,12.0543692111969
800,train,5.020283222198486,151.45419290967712,0.0002992673402839497,531375.5238891634,12.333274126052856
820,train,4.98519229888916,146.2316925146202,0.0002991661414702101,532600.5375338206,12.612529516220093
840,train,4.915498733520508,136.38731376835466,0.0002990584176462111,533639.4255034529,12.894999265670776
860,train,4.994145393371582,147.5467970168029,0.00029894417352414215,534780.7296796715,13.173847913742065
880,train,5.022099018096924,151.7294526440818,0.00029882341410141097,535692.3033284387,13.457277536392212
900,train,4.974979400634766,144.74584344497515,0.000298696144660426,536701.1895665285,13.737252950668335
920,train,4.900252342224121,134.32367094253573,0.00029856237076836484,537662.7226318759,14.017412185668945
940,train,4.922323703765869,137.3213368409274,0.00029842209827693093,538712.6358237223,14.294225692749023
960,train,4.940188884735107,139.79665252004654,0.0002982753333220975,539642.2701742111,14.573209762573242
980,train,4.959107398986816,142.466573318246,0.00029812208232383905,540523.3919574718,14.852567195892334
1000,train,4.858841896057129,128.87486516073616,0.0002979623519858508,541252.4520844584,15.135266304016113
1000,valid,4.845538981417392,127.17180676595164,0.0002979623519858508,541252.4520844584,15.135266304016113
1020,train,4.786576271057129,119.89019366297728,0.00029779614929525516,475231.87460395857,17.582659006118774
1040,train,4.678591728210449,107.61840983468234,0.00029762348152229616,476956.599903971,17.862589597702026
